rowid,p1,model_id
283,1.580118310633028e-14,2018-09-27--dl--response--segment_1
284,9.916364740792712e-18,2018-09-27--dl--response--segment_1
285,1.1701123530008507e-14,2018-09-27--dl--response--segment_1
287,2.823203231704898e-22,2018-09-27--dl--response--segment_1
288,2.869135537432961e-20,2018-09-27--dl--response--segment_1
289,5.502116204396788e-14,2018-09-27--dl--response--segment_1
292,3.867936775426968e-17,2018-09-27--dl--response--segment_1
296,7.639845492085834e-17,2018-09-27--dl--response--segment_1
297,7.961877669712777e-18,2018-09-27--dl--response--segment_1
299,6.145913818846479e-22,2018-09-27--dl--response--segment_1
301,9.149462639313827e-14,2018-09-27--dl--response--segment_1
302,4.952689829826756e-16,2018-09-27--dl--response--segment_1
305,5.7735234827977426e-12,2018-09-27--dl--response--segment_1
306,1.9886030053142347e-15,2018-09-27--dl--response--segment_1
309,1.4982042453966778e-11,2018-09-27--dl--response--segment_1
312,1.5902138458979134e-21,2018-09-27--dl--response--segment_1
315,1.278194620897529e-11,2018-09-27--dl--response--segment_1
316,4.090283556531355e-17,2018-09-27--dl--response--segment_1
319,4.551698013259525e-15,2018-09-27--dl--response--segment_1
320,4.632447101525176e-14,2018-09-27--dl--response--segment_1
325,1.2094433992746395e-16,2018-09-27--dl--response--segment_1
327,4.1392997297858534e-14,2018-09-27--dl--response--segment_1
330,6.409112829042204e-14,2018-09-27--dl--response--segment_1
331,3.55103699365956e-13,2018-09-27--dl--response--segment_1
332,5.1770416507468983e-17,2018-09-27--dl--response--segment_1
333,2.4561790658416748e-14,2018-09-27--dl--response--segment_1
335,9.932621335294866e-13,2018-09-27--dl--response--segment_1
336,6.545245500903257e-11,2018-09-27--dl--response--segment_1
340,2.2385089104244773e-15,2018-09-27--dl--response--segment_1
341,4.230636383745998e-11,2018-09-27--dl--response--segment_1
342,1.28498624240006e-15,2018-09-27--dl--response--segment_1
343,5.884837688901062e-15,2018-09-27--dl--response--segment_1
344,8.641531637563705e-12,2018-09-27--dl--response--segment_1
345,3.66508509795253e-10,2018-09-27--dl--response--segment_1
350,1.7645471785991804e-8,2018-09-27--dl--response--segment_1
352,3.493375537590805e-12,2018-09-27--dl--response--segment_1
356,1.538277449719178e-12,2018-09-27--dl--response--segment_1
358,1.5769124235161156e-20,2018-09-27--dl--response--segment_1
361,1.3724251496815882e-16,2018-09-27--dl--response--segment_1
368,5.408204277406955e-16,2018-09-27--dl--response--segment_1
369,7.049212898960275e-15,2018-09-27--dl--response--segment_1
372,1.7684029061001474e-24,2018-09-27--dl--response--segment_1
373,1.6631063340219143e-8,2018-09-27--dl--response--segment_1
374,5.091652280158084e-17,2018-09-27--dl--response--segment_1
377,2.093717516517241e-15,2018-09-27--dl--response--segment_1
379,2.767814609662891e-21,2018-09-27--dl--response--segment_1
380,3.9397957069603407e-23,2018-09-27--dl--response--segment_1
383,3.2620800699888414e-16,2018-09-27--dl--response--segment_1
384,1.6388530595508345e-18,2018-09-27--dl--response--segment_1
385,3.194718947986003e-14,2018-09-27--dl--response--segment_1
387,1.2373169780040825e-16,2018-09-27--dl--response--segment_1
388,4.261493025682791e-13,2018-09-27--dl--response--segment_1
393,2.264160980220493e-18,2018-09-27--dl--response--segment_1
394,4.473904756005377e-16,2018-09-27--dl--response--segment_1
395,1.1376502561307605e-15,2018-09-27--dl--response--segment_1
397,2.693227741986462e-10,2018-09-27--dl--response--segment_1
398,5.437416589898421e-20,2018-09-27--dl--response--segment_1
399,2.340489942307479e-18,2018-09-27--dl--response--segment_1
401,5.621487734705948e-14,2018-09-27--dl--response--segment_1
403,3.104403310605071e-14,2018-09-27--dl--response--segment_1
404,4.2257006133920486e-13,2018-09-27--dl--response--segment_1
408,1.1458404137376613e-9,2018-09-27--dl--response--segment_1
411,9.081778487887768e-11,2018-09-27--dl--response--segment_1
413,3.417532826187648e-17,2018-09-27--dl--response--segment_1
414,6.102768700132989e-16,2018-09-27--dl--response--segment_1
424,1.870290460109069e-12,2018-09-27--dl--response--segment_1
428,2.1946117718028141e-13,2018-09-27--dl--response--segment_1
429,6.112872743760612e-12,2018-09-27--dl--response--segment_1
432,1.3527232954187304e-22,2018-09-27--dl--response--segment_1
434,2.0747043342449816e-23,2018-09-27--dl--response--segment_1
438,1.974470133966829e-15,2018-09-27--dl--response--segment_1
440,1.7539868396009294e-15,2018-09-27--dl--response--segment_1
441,1.811962801661054e-17,2018-09-27--dl--response--segment_1
442,2.4073576849508695e-19,2018-09-27--dl--response--segment_1
444,3.64984907262053e-15,2018-09-27--dl--response--segment_1
446,8.007035450748357e-12,2018-09-27--dl--response--segment_1
449,2.308057065315545e-11,2018-09-27--dl--response--segment_1
452,1.4790464495686645e-14,2018-09-27--dl--response--segment_1
455,3.092976748303867e-13,2018-09-27--dl--response--segment_1
457,1.1298352678911812e-10,2018-09-27--dl--response--segment_1
459,3.34178253304941e-11,2018-09-27--dl--response--segment_1
460,7.4782555321937e-21,2018-09-27--dl--response--segment_1
461,6.075579405531262e-17,2018-09-27--dl--response--segment_1
462,5.3791648813554054e-14,2018-09-27--dl--response--segment_1
465,2.5374361905074953e-18,2018-09-27--dl--response--segment_1
466,2.0905370552355112e-16,2018-09-27--dl--response--segment_1
468,3.267218921158581e-14,2018-09-27--dl--response--segment_1
473,1.2850139698848026e-22,2018-09-27--dl--response--segment_1
479,2.9762617706391545e-17,2018-09-27--dl--response--segment_1
486,1.6652395411720358e-16,2018-09-27--dl--response--segment_1
488,3.026800093501684e-14,2018-09-27--dl--response--segment_1
489,8.667602516632994e-12,2018-09-27--dl--response--segment_1
490,1.1453230673037e-11,2018-09-27--dl--response--segment_1
491,4.4391517926141543e-13,2018-09-27--dl--response--segment_1
494,4.91404910599922e-18,2018-09-27--dl--response--segment_1
495,4.529523081906856e-21,2018-09-27--dl--response--segment_1
496,9.014588663717654e-15,2018-09-27--dl--response--segment_1
497,6.800123305330371e-14,2018-09-27--dl--response--segment_1
498,4.833349712820818e-15,2018-09-27--dl--response--segment_1
499,2.4726095636429977e-11,2018-09-27--dl--response--segment_1
500,8.830960057272468e-13,2018-09-27--dl--response--segment_1
501,1.3103920901933296e-12,2018-09-27--dl--response--segment_1
503,1.5488388331471521e-18,2018-09-27--dl--response--segment_1
506,4.859288312730791e-16,2018-09-27--dl--response--segment_1
511,3.5950559941968768e-12,2018-09-27--dl--response--segment_1
512,1.5960846001214094e-12,2018-09-27--dl--response--segment_1
513,9.304048278203526e-15,2018-09-27--dl--response--segment_1
515,1.4837193867161077e-12,2018-09-27--dl--response--segment_1
516,7.495213600302118e-16,2018-09-27--dl--response--segment_1
519,2.3070861815536017e-11,2018-09-27--dl--response--segment_1
521,6.69308824019097e-14,2018-09-27--dl--response--segment_1
522,1.9389497900670628e-14,2018-09-27--dl--response--segment_1
532,3.959614630765935e-22,2018-09-27--dl--response--segment_1
535,3.5609691686900186e-11,2018-09-27--dl--response--segment_1
538,6.285206321317501e-17,2018-09-27--dl--response--segment_1
540,3.1779247629248803e-022,2018-09-27--dl--response--segment_1
547,1.041601823781648e-11,2018-09-27--dl--response--segment_1
549,3.322638072153302e-25,2018-09-27--dl--response--segment_1
552,2.5718071619617324e-014,2018-09-27--dl--response--segment_1
553,4.512315559491662e-15,2018-09-27--dl--response--segment_1
556,6.630313792108786e-20,2018-09-27--dl--response--segment_1
558,2.184201935054813e-14,2018-09-27--dl--response--segment_1
559,9.585905477804413e-14,2018-09-27--dl--response--segment_1
562,3.016332498009446e-13,2018-09-27--dl--response--segment_1
568,7.282530348925132e-18,2018-09-27--dl--response--segment_1
571,9.692874520567657e-15,2018-09-27--dl--response--segment_1
573,1.0405690427704722e-9,2018-09-27--dl--response--segment_1
574,2.7024531647812236e-16,2018-09-27--dl--response--segment_1
575,8.205408011224403e-10,2018-09-27--dl--response--segment_1
578,3.0642710443580595e-18,2018-09-27--dl--response--segment_1
579,5.693894476150598e-12,2018-09-27--dl--response--segment_1
582,2.1525853596394864e-15,2018-09-27--dl--response--segment_1
583,2.8643712425858706e-16,2018-09-27--dl--response--segment_1
585,4.593578662370714e-16,2018-09-27--dl--response--segment_1
589,2.0024258821646063e-9,2018-09-27--dl--response--segment_1
590,1.8576725315135266e-8,2018-09-27--dl--response--segment_1
592,9.809652447903596e-14,2018-09-27--dl--response--segment_1
593,2.96086689986674e-19,2018-09-27--dl--response--segment_1
598,1.236588221821293e-13,2018-09-27--dl--response--segment_1
600,1.7624464753121358e-17,2018-09-27--dl--response--segment_1
601,2.1043756313895782e-24,2018-09-27--dl--response--segment_1
604,6.284655457201167e-17,2018-09-27--dl--response--segment_1
605,7.666705706934608e-13,2018-09-27--dl--response--segment_1
607,2.4069306395752438e-17,2018-09-27--dl--response--segment_1
610,1.2583530177251944e-15,2018-09-27--dl--response--segment_1
611,4.887895964945593e-10,2018-09-27--dl--response--segment_1
612,2.5997218582443173e-12,2018-09-27--dl--response--segment_1
613,3.856194373973071e-12,2018-09-27--dl--response--segment_1
616,2.2155294343736138e-13,2018-09-27--dl--response--segment_1
617,5.776346984105131e-14,2018-09-27--dl--response--segment_1
622,1.6116969248885953e-12,2018-09-27--dl--response--segment_1
623,9.090461777573247e-15,2018-09-27--dl--response--segment_1
624,2.139586153194409e-14,2018-09-27--dl--response--segment_1
625,2.7047588097552165e-19,2018-09-27--dl--response--segment_1
629,3.183216735883297e-10,2018-09-27--dl--response--segment_1
630,1.7902200045284296e-12,2018-09-27--dl--response--segment_1
631,2.809363108710357e-16,2018-09-27--dl--response--segment_1
637,1.3649194518500856e-20,2018-09-27--dl--response--segment_1
638,3.548363958153483e-14,2018-09-27--dl--response--segment_1
644,1.1342384904461648e-9,2018-09-27--dl--response--segment_1
645,3.730039270852849e-16,2018-09-27--dl--response--segment_1
648,4.2295779914632246e-12,2018-09-27--dl--response--segment_1
649,3.9178676883437503e-16,2018-09-27--dl--response--segment_1
650,2.718084095987982e-11,2018-09-27--dl--response--segment_1
651,1.4076314257266027e-16,2018-09-27--dl--response--segment_1
652,3.3715361101574218e-15,2018-09-27--dl--response--segment_1
655,1.664615802273973e-17,2018-09-27--dl--response--segment_1
656,2.5551580444363485e-15,2018-09-27--dl--response--segment_1
661,7.088181555155987e-14,2018-09-27--dl--response--segment_1
662,1.0695750424836624e-12,2018-09-27--dl--response--segment_1
665,8.495876645509082e-10,2018-09-27--dl--response--segment_1
668,1.037561145728312e-15,2018-09-27--dl--response--segment_1
669,8.46017773537617e-16,2018-09-27--dl--response--segment_1
671,9.982711024153406e-12,2018-09-27--dl--response--segment_1
672,1.6360457676695172e-10,2018-09-27--dl--response--segment_1
675,2.7331428121499348e-12,2018-09-27--dl--response--segment_1
677,1.9995346678102693e-14,2018-09-27--dl--response--segment_1
682,1.0961960084720124e-30,2018-09-27--dl--response--segment_1
687,8.773288626907096e-11,2018-09-27--dl--response--segment_1
688,2.839945026141024e-8,2018-09-27--dl--response--segment_1
692,1.7587556405516787e-17,2018-09-27--dl--response--segment_1
697,6.355335331218858e-10,2018-09-27--dl--response--segment_1
700,5.612101092619665e-13,2018-09-27--dl--response--segment_1
701,3.2384403394102797e-15,2018-09-27--dl--response--segment_1
702,7.194067506486394e-11,2018-09-27--dl--response--segment_1
707,1.1868292821429053e-13,2018-09-27--dl--response--segment_1
709,1.306519761501712e-13,2018-09-27--dl--response--segment_1
712,9.962659609824121e-8,2018-09-27--dl--response--segment_1
713,4.032551106293943e-15,2018-09-27--dl--response--segment_1
714,4.707934788154246e-17,2018-09-27--dl--response--segment_1
717,2.2825143391141892e-11,2018-09-27--dl--response--segment_1
718,1.416601746814608e-9,2018-09-27--dl--response--segment_1
719,1.4048580283934354e-13,2018-09-27--dl--response--segment_1
720,9.17220868848106e-31,2018-09-27--dl--response--segment_1
721,1.2873024405185023e-10,2018-09-27--dl--response--segment_1
724,1.984997565955848e-20,2018-09-27--dl--response--segment_1
726,5.726415030668158e-16,2018-09-27--dl--response--segment_1
730,1.2363907577182115e-17,2018-09-27--dl--response--segment_1
732,7.420761571000282e-8,2018-09-27--dl--response--segment_1
739,3.738975040693225e-17,2018-09-27--dl--response--segment_1
744,6.633956082309496e-19,2018-09-27--dl--response--segment_1
746,7.283434729872292e-11,2018-09-27--dl--response--segment_1
747,4.674867755823241e-18,2018-09-27--dl--response--segment_1
754,1.4504469944457207e-12,2018-09-27--dl--response--segment_1
755,3.3075416377885534e-16,2018-09-27--dl--response--segment_1
756,1.0951053660954464e-13,2018-09-27--dl--response--segment_1
757,1.7823982370176124e-20,2018-09-27--dl--response--segment_1
760,9.43160900053341e-15,2018-09-27--dl--response--segment_1
761,7.970364096335722e-12,2018-09-27--dl--response--segment_1
763,1.1819344184594827e-15,2018-09-27--dl--response--segment_1
765,4.3452352497400085e-17,2018-09-27--dl--response--segment_1
767,1.9075203683373544e-13,2018-09-27--dl--response--segment_1
769,2.0015263791609446e-20,2018-09-27--dl--response--segment_1
770,5.0096910924302375e-14,2018-09-27--dl--response--segment_1
773,2.339053099260533e-17,2018-09-27--dl--response--segment_1
776,2.0962659972531945e-12,2018-09-27--dl--response--segment_1
779,1.4843635855520362e-11,2018-09-27--dl--response--segment_1
787,8.304772605033228e-15,2018-09-27--dl--response--segment_1
789,5.235791238573964e-10,2018-09-27--dl--response--segment_1
791,2.11040884865312e-19,2018-09-27--dl--response--segment_1
792,2.896817222419383e-21,2018-09-27--dl--response--segment_1
794,1.6624451063163915e-20,2018-09-27--dl--response--segment_1
799,1.1203563050435342e-21,2018-09-27--dl--response--segment_1
804,5.238474357857031e-21,2018-09-27--dl--response--segment_1
806,8.813337465380127e-17,2018-09-27--dl--response--segment_1
811,2.327719092478454e-12,2018-09-27--dl--response--segment_1
818,1.1932055627650748e-18,2018-09-27--dl--response--segment_1
819,1.0133833463322755e-12,2018-09-27--dl--response--segment_1
820,1.0957345978207063e-19,2018-09-27--dl--response--segment_1
822,3.1870059196946026e-20,2018-09-27--dl--response--segment_1
824,5.9160736941269795e-15,2018-09-27--dl--response--segment_1
825,6.973425672253705e-27,2018-09-27--dl--response--segment_1
828,1.1764180182052381e-17,2018-09-27--dl--response--segment_1
831,8.423565477940376e-17,2018-09-27--dl--response--segment_1
832,1.7836496903802654e-15,2018-09-27--dl--response--segment_1
834,1.1028399541033556e-10,2018-09-27--dl--response--segment_1
835,2.621923196683559e-16,2018-09-27--dl--response--segment_1
836,1.551753219789143e-16,2018-09-27--dl--response--segment_1
839,9.259248909169299e-12,2018-09-27--dl--response--segment_1
840,2.002277474827822e-12,2018-09-27--dl--response--segment_1
847,7.380478406925073e-23,2018-09-27--dl--response--segment_1
848,3.961551603633363e-10,2018-09-27--dl--response--segment_1
849,2.3273894494007944e-12,2018-09-27--dl--response--segment_1
851,2.4999501325171825e-13,2018-09-27--dl--response--segment_1
854,4.762590831624338e-16,2018-09-27--dl--response--segment_1
857,1.0448928931488988e-25,2018-09-27--dl--response--segment_1
860,1.528232989886783e-16,2018-09-27--dl--response--segment_1
862,2.5353049605802808e-14,2018-09-27--dl--response--segment_1
866,8.823686972816164e-13,2018-09-27--dl--response--segment_1
871,2.4099525563754906e-15,2018-09-27--dl--response--segment_1
874,1.5571662836900097e-12,2018-09-27--dl--response--segment_1
879,1.478228968844195e-21,2018-09-27--dl--response--segment_1
886,1.6203039842151596e-13,2018-09-27--dl--response--segment_1
888,4.912441925971924e-13,2018-09-27--dl--response--segment_1
889,4.735635945251178e-17,2018-09-27--dl--response--segment_1
890,4.6008065316320044e-24,2018-09-27--dl--response--segment_1
891,3.241633449045904e-21,2018-09-27--dl--response--segment_1
892,3.0583621152695314e-16,2018-09-27--dl--response--segment_1
895,1.5529998171408848e-20,2018-09-27--dl--response--segment_1
896,2.9155394014582156e-12,2018-09-27--dl--response--segment_1
898,1.016332103808162e-13,2018-09-27--dl--response--segment_1
901,1.411188279418016e-17,2018-09-27--dl--response--segment_1
902,2.5059529782181195e-12,2018-09-27--dl--response--segment_1
903,4.6822315830138615e-12,2018-09-27--dl--response--segment_1
907,9.01926239464732e-20,2018-09-27--dl--response--segment_1
908,2.2799518949502257e-17,2018-09-27--dl--response--segment_1
909,9.963683300744385e-19,2018-09-27--dl--response--segment_1
915,1.2749336867041908e-27,2018-09-27--dl--response--segment_1
920,6.020689967530101e-15,2018-09-27--dl--response--segment_1
922,9.490031144467553e-19,2018-09-27--dl--response--segment_1
928,3.3345615963971656e-12,2018-09-27--dl--response--segment_1
931,1.9180291640272034e-15,2018-09-27--dl--response--segment_1
932,1.8382301451401847e-9,2018-09-27--dl--response--segment_1
933,7.39460306835175e-16,2018-09-27--dl--response--segment_1
935,3.560761619565384e-19,2018-09-27--dl--response--segment_1
937,4.417193900739991e-21,2018-09-27--dl--response--segment_1
938,2.1652219697140592e-19,2018-09-27--dl--response--segment_1
944,3.521517776344735e-32,2018-09-27--dl--response--segment_1
952,3.82849652370511e-25,2018-09-27--dl--response--segment_1
959,2.9317305188134365e-14,2018-09-27--dl--response--segment_1
960,1.1081188586831882e-11,2018-09-27--dl--response--segment_1
962,1.4401747776786643e-14,2018-09-27--dl--response--segment_1
968,3.3324539025855865e-19,2018-09-27--dl--response--segment_1
969,6.223902734275719e-24,2018-09-27--dl--response--segment_1
973,5.820167251499996e-23,2018-09-27--dl--response--segment_1
974,8.359076862613164e-22,2018-09-27--dl--response--segment_1
975,8.739557234727299e-14,2018-09-27--dl--response--segment_1
976,3.992303847540533e-19,2018-09-27--dl--response--segment_1
982,9.263061763472613e-26,2018-09-27--dl--response--segment_1
986,2.4787388393516445e-22,2018-09-27--dl--response--segment_1
990,4.960609393942439e-21,2018-09-27--dl--response--segment_1
991,5.343389644886602e-14,2018-09-27--dl--response--segment_1
992,3.1431619109796935e-15,2018-09-27--dl--response--segment_1
996,7.100580688200419e-20,2018-09-27--dl--response--segment_1
998,2.4442621551829126e-13,2018-09-27--dl--response--segment_1
999,1.1250195892744426e-15,2018-09-27--dl--response--segment_1
1000,3.79694050107752e-24,2018-09-27--dl--response--segment_1
1001,8.78845983037032e-20,2018-09-27--dl--response--segment_1
1004,1.4768621574214525e-13,2018-09-27--dl--response--segment_1
1008,9.278573284031257e-14,2018-09-27--dl--response--segment_1
1012,1.7201996215495232e-21,2018-09-27--dl--response--segment_1
1015,1.0298220593482849e-17,2018-09-27--dl--response--segment_1
1017,1.2244378643335969e-14,2018-09-27--dl--response--segment_1
1018,1.4712227000635917e-13,2018-09-27--dl--response--segment_1
1019,1.2601943347984673e-17,2018-09-27--dl--response--segment_1
1020,2.875465316453195e-10,2018-09-27--dl--response--segment_1
1022,2.667267212401451e-15,2018-09-27--dl--response--segment_1
1024,3.60162799419812e-14,2018-09-27--dl--response--segment_1
1028,9.787890487480642e-19,2018-09-27--dl--response--segment_1
1029,1.4389027871954786e-16,2018-09-27--dl--response--segment_1
1030,3.2767271202895204e-9,2018-09-27--dl--response--segment_1
1031,1.1576151820149143e-17,2018-09-27--dl--response--segment_1
1033,2.7680024154952175e-16,2018-09-27--dl--response--segment_1
1035,1.632471514956003e-19,2018-09-27--dl--response--segment_1
1036,8.453607574223616e-23,2018-09-27--dl--response--segment_1
1045,1.9550817526661088e-15,2018-09-27--dl--response--segment_1
1049,3.639086605640454e-14,2018-09-27--dl--response--segment_1
1050,2.6003518895093663e-18,2018-09-27--dl--response--segment_1
1052,3.576379053229293e-16,2018-09-27--dl--response--segment_1
1058,1.1658832477682705e-14,2018-09-27--dl--response--segment_1
1061,6.910974060229751e-16,2018-09-27--dl--response--segment_1
1067,6.960144684454584e-21,2018-09-27--dl--response--segment_1
1068,6.023261168264229e-13,2018-09-27--dl--response--segment_1
1070,1.3575219835069106e-14,2018-09-27--dl--response--segment_1
1071,3.927994773636848e-18,2018-09-27--dl--response--segment_1
1072,4.634376078635919e-15,2018-09-27--dl--response--segment_1
1073,2.14829555624664e-17,2018-09-27--dl--response--segment_1
1074,4.035277373870658e-10,2018-09-27--dl--response--segment_1
1078,8.715211171750498e-25,2018-09-27--dl--response--segment_1
1082,3.5372822281003107e-16,2018-09-27--dl--response--segment_1
1083,7.352052681129101e-13,2018-09-27--dl--response--segment_1
1084,5.077488040477538e-18,2018-09-27--dl--response--segment_1
1086,1.7886619124727598e-19,2018-09-27--dl--response--segment_1
1087,5.617112588170173e-17,2018-09-27--dl--response--segment_1
1088,1.0591017591188421e-12,2018-09-27--dl--response--segment_1
1092,1.2465488272761169e-16,2018-09-27--dl--response--segment_1
1093,1.2778156999850862e-12,2018-09-27--dl--response--segment_1
1095,2.656134826229987e-18,2018-09-27--dl--response--segment_1
1097,9.08582784236644e-13,2018-09-27--dl--response--segment_1
1098,6.403346473611663e-14,2018-09-27--dl--response--segment_1
1100,1.4189308626088853e-18,2018-09-27--dl--response--segment_1
1105,5.77051144585528e-17,2018-09-27--dl--response--segment_1
1108,4.8203693347061924e-23,2018-09-27--dl--response--segment_1
